ordem,gid,co_cep,uf,cidade,no_fantasia,no_bairro,nu_endereco,no_logradouro,nu_telefone,ano_upa_func,mes_upa_func,fonte_recurso,porte,longitude,latitude
126,7274440,60750-022,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO JOSE WALTER,JOSE WALTER,S/N,AV PRESIDENTE COSTA E SILVA,85 32168316,2015,10,MS,3,-38.543,-3.717
128,6985483,,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO PRAIA DO FUTURO,PRAIA DO FUTURO,S/N,AV SENADOR CARLOS JEREISSATI,85 32168316,2015,10,MS,3,-38.52014,-3.73498
203,7006810,,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO MESSEJANA,MESSEJANA,S/N,RUA MIGUEL GURGEL,85 32168314,2015,10,MS,2,-38.54732,-3.7618
244,7514948,60055-000,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO ITAPERI,ITAPERI,S/N,RUA BETEL,32952768,2015,10,MS,3,-38.53926,-3.71701
246,7018800,,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO CANINDEZINHO,PLANALTO VITORIO,S/N,RUA 15,85 32168316,2015,10,MS,3,-38.50838,-3.80735
327,6999506,,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO AUTRAN NUNES,AUTRAN NUNES,S/N,AV FERNANDES TAVORA,32168314,2015,10,MS,2,-38.51367,-3.74539
335,7429398,60055-090,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO JANGURUSSU,JANGURUSSU,S/N,AV CONTORNO SUL,32952768,2015,10,MS,3,-38.53926,-3.71701
373,7360851,,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO CONJUNTO CEARA,CONJUNTO CEARA,S/N,RUA 860,3216 8316,2015,10,MS,2,-38.543,-3.717
387,7434308,60055-000,Ceará (CE),Fortaleza,UNIDADE PRONTO ATENDIMENTO CRISTO REDENTOR,JACARECANGA,S/N,AV PRESIDENTE CASTELO BRANCO,31952768,2015,10,MS,3,-38.53926,-3.71701
186,7381158,,Ceará (CE),Horizonte,UPA DE HORIZONTE,CENTRO,1285,RUA CIRO BILHAR,8533366043,2015,10,MS,2,-38.65085,-4.08486
78,7460953,,Ceará (CE),Iguatu,UNIDADE DE PRONTO ATENDIMENTO DE IGUATU UPA,PARANA,S/N,RUA 25 DE MARCO,,2015,10,MS,1,-39.29265,-6.35576
250,7569793,,Ceará (CE),Itapipoca,UPA PORTE II,FAZENDINHA,S/N,AV ESAU ALVES,,2015,10,MS,2,-39.57120895,-3.506910151
395,7501366,,Ceará (CE),Juazeiro do Norte,UNIDADE DE PRONTO ATENDIMENTO UPA LIMOEIRO,LIMOEIRO,S/N,CAPITAO DOMINGOS,8835124696,2015,10,MS,3,-39.30932,-7.20796
394,6893295,,Ceará (CE),Maranguape,UPA 24HS MARANGUAPE,NOVO MARANGUAPE,0,RODOVIA SENADOR ALMIR PINTO,8533415088,2015,10,MS,2,-38.68187,-3.89066
219,7372523,,Ceará (CE),Pentecoste,UPA DE PENTECOSTE,SAO FRANCISCO,14,RUA GONCALO SALES PESSOA,85 33522619,2015,10,MS,1,-39.25793767,-3.789363039
357,7434472,,Ceará (CE),Quixadá,UNIDADE DE PRONTO ATENDIMENTO 24H DR ANTONIO MAGALHAES,RENASCER,S/N,RUA DOS VOLUNTARIOS,,2015,10,MS,1,-39.03404966,-4.958677094
88,7399626,,Ceará (CE),Russas,UNIDADE DE PRONTO ATENDIMENTO DE RUSSAS,PLANALTO,S/N,RUA PROJETADA,,2015,10,MS,1,-37.96926498,-4.946275435
36,7396805,,Ceará (CE),São Gonçalo do Amarante,UNIDADE DE PRONTO ATENDIMENTO DE SAO GONCALO DO AMARANTE,PECEM,S/N,RUA DO CAJUEIRO,(85)3315-1111,2015,10,MS,2,-38.96768,-3.60441
381,7396368,,Ceará (CE),Tauá,UPA DRA LEILA MARIA ALEXANDRINO CIDRAO FEITOSA,NOVA ALDEOTA,494,AV CHERMONN ALVES DE OLIVEIRA,(88)34372016,2015,10,MS,1,-40.28909,-6.00186
388,7389272,,Ceará (CE),Ubajara,UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO,CORRENTE,S/N,AVENIDA TABAJARA,,2015,10,MS,1,-40.85915,-4.04265
30,7592477,,Distrito Federal (DF),Brasília,UPA SOBRADINHO,SOBRADINHO II,1,DF 420 KM2 COMPLEXO DE SAUDE,,2015,10,MS,3,-47.92463,-15.77463
97,6708714,72322-700,Distrito Federal (DF),Brasília,UPA SAMAMBAIA,SUL,9,QS 107 CONJUNTO 04 AE,61-34593282,2015,10,MS,3,-48.11108,-15.88708
259,7465157,,Distrito Federal (DF),Brasília,UPA CEILANDIA,CEILANDIA,1,QNN 27 AREA ESPECIAL D,34719000,2015,10,MS,3,-47.92463,-15.77463
302,7116756,71.692-100,Distrito Federal (DF),Brasília,UPA UNIDADE DE PRONTO ATENDIMENTO DE SAO SEBASTIAO,RESIDENCIAL OESTE,1,QD 102 CJ 1 LT 1,6133396426,2015,10,MS,3,-48.0735,-15.86048
378,7078730,72630-250,Distrito Federal (DF),Brasília,UPA RECANTO DAS EMAS,RECANTO DAS EMAS,1,EQ 400 600 AREA ESPECIAL RECANTO DAS EMAS,,2015,10,MS,3,-47.93,-15.78
398,7111924,71732-010,Distrito Federal (DF),Brasília,UPA UNIDADE DE PRONTO ATENDIMENTO NUCLEO BANDEIRANTE,NUCLEO BANDEIRANTE,180,DF 075 KM 180 PLACA DAS MERCEDES,33866619,2015,10,MS,3,-47.88586,-15.7958
49,2466422,,Espírito Santo (ES),Guarapari,UPA II DR JOAO BATISTA DE ALMEIDA NETO,IPIRANGA,S/N,RUA CACHOEIRO DO ITAPEMIRIM,(27)3362 8325,2015,10,MS,2,-40.5057,-20.67684
95,2630036,,Espírito Santo (ES),Guarapari,SECRETARIA MUNICIPAL DE SAUDE,MUQUICABA,S/N,RUA ADAMASTOR ANTONIO DA SILVA,(27)32615686,2015,10,MS,2,-40.49939,-20.67564
56,2485958,29176-206,Espírito Santo (ES),Serra,UPA 24 HORAS SERRA,CENTRO SERRA,S/N,AVENIDA JONES DOS SANTOS NEVES,32.918.837,2015,10,MS,3,-40.30800104,-20.12903171
227,5387582,,Espírito Santo (ES),Serra,UPA 24 HORAS CARAPINA,MANOEL PLAZA,S/N,AVENIDA NORTE SUL,3341-1171,2015,10,MS,3,-40.31982422,-20.13589163
328,7529368,,Goiás (GO),Anápolis,UPA III DR ALAIR MAFRA ANAPOLIS GOIAS,VILA ESPERANCA,S/N,RUA 29 DE DEZEMBRO,,2015,10,MS,3,-48.95169,-16.32277
340,2589648,74975-385,Goiás (GO),Aparecida de Goiânia,UNIDADE DE PRONTO ATENDIMENTO UPA,RESIDENCIAL BRASICON,S/N,RUA DAS ACASIA,3545 9953,2015,10,MS,3,-49.24249,-16.82468
235,7064578,75690-000,Goiás (GO),Caldas Novas,UPA UNIDADE DE PRONTO ATENDIMENTO,CENTRO,1,RUA PROFESSOR JOSINO BRETAS ESQ C R,(64) 3453-0022,2015,10,MS,2,-48.62577125,-17.74404243
392,7065299,,Goiás (GO),Ceres,UPA II DR JAIR DINOAH DE ARAUJO,CENTRO,1425,AV BERNARDO SAYAO,,2015,10,MS,2,-49.59248,-15.30508
90,6722253,,Goiás (GO),Formosa,UPA UNIDADE DE PRONTO ATENDIMENTO,SETOR SUL,S/N,VIA 26 A,61 3631-7681,2015,10,MS,1,-47.33929,-15.54311
174,7304188,,Goiás (GO),Goiânia,UPA DR JOAO BATISTA DE SOUSA JUNIOR,RESIDENCIAL ITAIPU,S/N,AVENIDA RIO VERMELHO,062 - 32884522,2015,10,MS,3,-49.3686533,-16.78087082
123,2383462,72860016,Goiás (GO),Novo Gama,AMBULATORIO 24 HORAS NOVO GAMA,NOVO GAMA,1000,AVENIDA CENTRAL,(61)6281123,2015,10,MS,1,-48.03171,-16.05555
358,6834477,,Goiás (GO),Rio Verde,UPA DR JOSE POVOA MENDES,JARDIM GOIAS,1900,RUA AUGUSTA BASTOS,6436202040,2015,10,MS,1,-50.93193054,-17.79511201
157,7157681,75250-000,Goiás (GO),Senador Canedo,UPA UNIDADE DE PRONTO ATENDIMENTO DE SENADOR CANEDO,RESIDENCILA BOA VIST,S/N,RUA BV 15 ESQ AV GERONIMO VIEIRA,,2015,10,MS,2,-49.11737592,-16.68826927
20,7267096,72874-218,Goiás (GO),Valparaíso de Goiás,UPA D ZILDA ARNS,PARQUE MARAJO,5,PRACA KATIA ENTREQUADRAS 25 26 PARQUE MARAJO,,2015,10,MS,2,-47.97467977,-16.11000361
73,6931960,65400-000,Maranhão (MA),Codó,UPA CODO,SANTA TEREZINHA,S/N,RUA SANTA RITA,,2015,10,MS,2,-43.87886,-4.45494
240,6870805,,Maranhão (MA),Coroatá,UPA COROATA,CENTRO,S/N,AVENIDA DA BANDEIRA,,2015,10,MS,2,-44.13041,-4.12516
393,6929583,,Maranhão (MA),Imperatriz,UPA IMPERATRIZ,NOV IMPERATRIZ,968,AVENIDA BERNARDO SAYAO,,2015,10,MS,2,-47.47267,-5.5208
220,6992021,65665000,Maranhão (MA),São João dos Patos,UPA SAO JOAO DOS PATOS,SANTIAGO,1,RUA SAO JORGE,,2015,10,MS,1,-43.702,-6.495
315,6826393,,Maranhão (MA),São José de Ribamar,UPA PARQUE VITORIA,TURU,20,AVENIDA JOSE SANTANA QUADRA 38,,2015,10,MS,2,-44.30682,-2.53073
14,6851304,,Maranhão (MA),São Luís,UPA VINHAIS,VINHAIS,S/N,AVENIDA 02,(98) 2367535,2015,10,MS,3,-44.30682,-2.53073
143,6568734,,Maranhão (MA),São Luís,UPA ITAQUI BACANGA,ITAQUI BACANGA,S/N,AVENIDA DOS PORTUGUESES,(98)32720346,2015,10,MS,2,-44.30782,-2.55194
225,6847587,,Maranhão (MA),São Luís,UPA ARACAGY,ARACAGY,S/N,AV DOS HOLANDESES,,2015,10,MS,3,-44.054,-2.562
307,6851312,,Maranhão (MA),São Luís,UPA CIDADE OPERARIA,CIDADE OPERARIA,S/N,AV PRICIPAL AV OESTE,(098)32474558,2015,10,MS,3,-44.303,-2.53
241,6928331,65630000,Maranhão (MA),Timon,UPA TIMON,SANTO ANTONIO,S/N,RUA SAO SEBASTIAO,,2015,10,MS,2,-42.82399,-5.09944
19,23582,31515-000,Minas Gerais (MG),Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO VENDA NOVA,VENDA NOVA,322,RUA PADRE PEDRO PINTO,(31)32775438,2015,10,MS,3,-43.95405,-19.81775
84,23310,30130-007,Minas Gerais (MG),Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO OESTE,JARDIM AMERICA,1710,AV BARAO HOMEM DE MELO,(31)32777044,2015,10,MS,3,-43.97755,-19.92744
242,23051,,Minas Gerais (MG),Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO NORDESTE,CONCORDIA,535,RUA ITAMARACA,(31)32776646,2015,10,MS,2,-43.93079,-19.88421
299,6210902,31150-000,Minas Gerais (MG),Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO CENTRO SUL,SANTA EFIGENIA,488,RUA DOMINGOS VIEIRA,32385900,2015,10,MS,3,-43.92537,-19.92235
311,22683,30626-002,Minas Gerais (MG),Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO BARREIRO,DIAMANTE,20,AV AURELIO LOPES,(31)32775821,2015,10,MS,3,-44.03565,-19.98497
57,2126001,32670-505,Minas Gerais (MG),Betim,UNIDADE A I SETE DE SETEMBRO,CHACARA,441,AVENIDA BANDEIRANTES,(31)3531.3930,2015,10,MS,3,-44.18887,-19.96376
129,2126052,32670-778,Minas Gerais (MG),Betim,UNIDADE A I ALEXANDRE SILVA A DINIZ ALTEROSAS,JARDIM ALTEROSAS,520,AVENIDA CAMPOS DE OURIQUE,(31)35922933,2015,10,MS,2,-44.15644,-19.95012
199,2126419,32667-005,Minas Gerais (MG),Betim,UNIDADE A I NILDA NOGUEIRA DO A ANDRADE GUANABARA,GUANABARA,225,RUA JOVELINO GREGORIO DA SILVA,(31)35922930,2015,10,MS,1,-44.14801,-19.97988
339,2126133,32381-778,Minas Gerais (MG),Betim,UAI TERESOPOLIS,JARDIM TERESOPOLIS,154,AVENIDA BELO HORIZONTE,(31)3597.8273/8270,2015,10,MS,3,-44.12244,-19.94906
165,7076886,35.460-000,Minas Gerais (MG),Brumadinho,UPA VALDEMAR DE ASSIS BARCELOS,KM30,30,MG 040,,2015,10,MS,1,-44.2,-20.143
253,7543913,,Minas Gerais (MG),Campo Belo,UNIDADE DE PRONTO ATENDIMENTO UPA,CIDADE MONTESA,105,AVENIDA PREFEITO WANDERLEY LUIS MAIA,,2015,10,MS,2,-45.27311,-20.89181
2,6008054,32041-440,Minas Gerais (MG),Contagem,UNIDADE DE PRONTO ATENDIMENTO UNIDADE XVI UPA XVI,CENTRO,47,JOAQUIM CAMARGO,33987036,2015,10,MS,2,-44.08074,-19.91056
55,2189852,32310-210,Minas Gerais (MG),Contagem,UNIDADE PRONTO ATENDIMENTO GERALDO PINTO VIEIRA UPA JK,ELDORADO,780,AVENIDA JOAO CESAR DE OLIVEIRA,(31)3395-4677,2015,10,MS,3,-44.03532,-19.94012
104,2189879,32145-000,Minas Gerais (MG),Contagem,UNIDADE DE PRONTO ATENDIMENTO RESSACA UPA,GUANABARA,S/N,PRACA 21 DE ABRIL GUANABARA,3357-6002,2015,10,MS,2,-44.03045,-19.88522
110,2190125,32072-180,Minas Gerais (MG),Contagem,UNIDADE DE PRONTO ATENDIMENTO PETROLANDIA UPA,PETROLANDIA,137,RUA REFINARIA UNIAO,(31)3352-3312/5692,2015,10,MS,1,-44.114,-19.9304
249,2189860,32.050-310,Minas Gerais (MG),Contagem,UNIDADE DE PRONTO ATENDIMENTO VARGEM DAS FLORES UPA,RETIRO,80,RUA RETIRO DOS IMIGRANTES,(31)39117419,2015,10,MS,1,-44.05302,-19.96417
320,7469144,,Minas Gerais (MG),Divinópolis,UPA 24 HORAS PADRE ROBERTO CORDEIRO MARTINS,PONTE FUNDA,241,RUA NILO MACIEL,37-32213662,2015,10,MS,3,-44.86243486,-20.15686236
314,7455038,35044-150,Minas Gerais (MG),Governador Valadares,UPA 24 HORAS,VILA ISA,1681,RUA RANULFO ALVARES,33 21016100,2015,10,MS,3,-41.94316,-18.85068
211,2115786,32400-000,Minas Gerais (MG),Ibirité,UNIDADE MUNICIPAL DE PRONTO ATENDIMENTO DE IBIRITE,MACAUBAS,S/N,RUA NELSON PINHEIRO,(31)35336110,2015,10,MS,2,-44.06751,-20.01841
150,7533934,,Minas Gerais (MG),Igarapé,UPA PREFEITO OSVALDO CANDIDO DE QUEIROZ,MARECHAL RONDON,690,RUA SANTOS DUMONT,31 - 3534-1648,2015,10,MS,1,-44.30102,-20.06887
42,7417659,35164-500,Minas Gerais (MG),Ipatinga,UPA JOSE ISABEL DE NASCIMENTO,CANAA,820,AVENIDA GERASA,,2015,10,MS,3,-42.53537,-19.46768
144,7507631,,Minas Gerais (MG),Itabirito,ITABIRITO UPA CELSO MATOS SILVA,SANTA EFIGENIA,S/N,RODOVIA DOS INCONFIDENTES KM 55 BR 356,,2015,10,MS,1,-43.78197938,-20.26411951
187,7104804,36090-000,Minas Gerais (MG),Juiz de Fora,UPA NORTE,NOVA ERA,6145,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,(32)3222-0430,2015,10,MS,3,-43.34941,-21.76277
263,6463487,36070-060,Minas Gerais (MG),Juiz de Fora,UPA SANTA LUZIA,SANTA LUZIA,1130,RUA IBITIGUAIA,(32)2102-0898,2015,10,MS,3,-43.35271,-21.788
372,6571573,36070-060,Minas Gerais (MG),Juiz de Fora,UPA SAO PEDRO,SAO PEDRO,129,RUA MAJOR LINO LIMA,(32)3250-1400,2015,10,MS,3,-43.38468,-21.77431
284,2785722,32900-000,Minas Gerais (MG),Manhuaçu,UNIDADE DE PRONTO ATENDIMENTO UPA,CENTRO,S/N,RUA FREDERICO DOLABELA,33 3332 3310,2015,10,MS,2,-42.16765,-20.23128
179,7061838,35.670-000,Minas Gerais (MG),Mateus Leme,MATEUS LEME UPA 24 HORAS TIAGO CARDOSO SANTOS,VALE VERDE,15,RUA LEVINDO DA SILVA,,2015,10,MS,1,-44.428,-19.99083962
118,2160137,35.519-000,Minas Gerais (MG),Nova Serrana,UPA ANTONIO JOSE DOS SANTOS,SAO MARIOS,440,RUA PADRE JOSE LUIZ,037-3226.6166,2015,10,MS,1,-44.95962408,-19.90182759
414,4042751,37900-048,Minas Gerais (MG),Passos,UNIDADE DE PRONTO ATENDIMENTO UPA,SANTA LUZIA,1629,RUA BARAO DE PASSOS,(35)3522 7171,2015,10,MS,3,-46.6086,-20.73101
251,7525427,,Minas Gerais (MG),Patos de Minas,UPA III,JARDIM PELUZZO,288,RUA PELUZO,34 3822-9641,2015,10,MS,3,-46.50819384,-18.60928269
237,7548311,,Minas Gerais (MG),Poços de Caldas,UPA POCOS DE CALDAS,JOSE CARLOS,0,RUA BANDEIRA DO SUL,3536975398,2015,10,MS,3,-46.55086398,-21.78569869
281,6632858,,Minas Gerais (MG),Ribeirão das Neves,UPA ACRIZIO MENEZES,CEREJEIRAS,600,AVENIDA DENISE CRISTINA DA ROCHA,3136381833,2015,10,MS,3,-44.08702,-19.76593
133,7106548,34505-010,Minas Gerais (MG),Sabará,SABARA UPA III 24 HORAS PADRE LAZARO PEREIRA CRISPIM,NACOES UNIDAS,7000,RODOVIA MGT 262 KM 07,31 35081962,2015,10,MS,3,-43.86940598,-19.87716311
410,2164175,,Minas Gerais (MG),Santa Luzia,UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO,SAO BENEDITO,1052,RUA SENHOR DO BONFIM,(31)36371992,2015,10,MS,2,-43.93280201,-19.78444184
305,6798128,,Minas Gerais (MG),São João del Rei,UPA SAO JOAO DEL REI,CAIEIRAS,173,R MARECHAL CIRO ESPIRITO SANTO CARDOSO,,2015,10,MS,2,-44.26209,-21.1336
289,7498233,,Minas Gerais (MG),Sete Lagoas,UPA DR JUVENAL PAIVA,VAPABUCU,1700,AV TONICO REIS,31 37748140,2015,10,MS,3,-44.21259463,-19.47053218
206,6875343,39803-013,Minas Gerais (MG),Teófilo Otoni,UPA 24 HORAS,CENTRO,1284,AVENIDA GETULIO VARGAS,,2015,10,MS,3,-41.51409,-17.85211
